,Team1,Team1_score,Team2_score,Team2,Date,Round
0,University of Birmingham,170,205,University of Aberdeen,1994-09-21,1R
1,"New College, Oxford",145,115,University of North London,1994-09-28,1R
2,University of Liverpool,150,100,University of Sheffield,1994-10-05,1R
3,"Brasenose College, Oxford",185,190,"Trinity College, Cambridge",1994-10-12,1R
4,University of Manchester Institute of Science and Technology,95,185,University of Edinburgh,1994-10-19,1R
5,Open University,135,150,"St Benet's Hall, Oxford",1994-10-26,1R
6,University of Sussex,120,210,"Robinson College, Cambridge",1994-11-02,1R
7,Robert Gordon University,75,225,University of Bristol,1994-11-09,1R
8,"Birkbeck, University of London",215,160,Queen's University Belfast,1994-11-16,1R
9,"Keble College, Oxford",265,130,University of Hull,1994-11-23,1R
10,Barts and The London School of Medicine and Dentistry,120,170,"University of Wales, Lampeter",1994-11-30,1R
11,"Jesus College, Cambridge",80,290,University of St Andrews,1994-12-07,1R
12,University of Aberdeen,325,145,"Brasenose College, Oxford",1994-12-14,2R
13,Open University,235,180,University of Bristol,1994-12-21,2R
14,"Trinity College, Cambridge",300,215,Queen's University Belfast,1994-12-28,2R
15,"Birkbeck, University of London",120,255,University of St Andrews,1995-01-04,2R
16,"New College, Oxford",200,175,"St Benet's Hall, Oxford",1995-01-11,2R
17,"University of Wales, Lampeter",150,230,University of Birmingham,1995-01-18,2R
18,"Keble College, Oxford",130,255,University of Edinburgh,1995-01-25,2R
19,University of Liverpool,105,255,"Robinson College, Cambridge",1995-02-01,2R
20,University of Aberdeen,225,155,Open University,1995-02-08,QF
21,"Trinity College, Cambridge",335,155,University of St Andrews,1995-02-15,QF
22,"New College, Oxford",175,165,University of Birmingham,1995-02-22,QF
23,University of Edinburgh,230,185,"Robinson College, Cambridge",1995-03-01,QF
24,"Trinity College, Cambridge",245,235,University of Aberdeen,1995-03-15,SF
25,"New College, Oxford",260,220,University of Edinburgh,1995-03-22,SF
26,"Trinity College, Cambridge",390,180,"New College, Oxford",1995-03-29,F
27,Middlesex University,215,200,University of Exeter,1995-11-01,1R
28,London School of Economics,260,155,"Keble College, Oxford",1995-11-08,1R
29,Lancaster University,240,225,Swansea University,1995-11-15,1R
30,University of Surrey,155,175,Liverpool John Moores University,1995-11-22,1R
31,"Gonville and Caius College, Cambridge",195,210,"University College, Oxford",1995-11-29,1R
32,Charing Cross Hospital,105,230,Heriot-Watt University,1995-12-06,1R
33,Keele University,190,160,"Trinity Hall, Cambridge",1995-12-13,1R
34,Newcastle University,295,155,Open University,1995-12-20,1R
35,University of Birmingham,135,270,"Selwyn College, Cambridge",1995-12-29,1R
36,University of St Andrews,125,205,Imperial College London,1996-01-03,1R
37,"Pembroke College, Oxford",200,215,University of Warwick,1996-01-10,1R
38,"Lucy Cavendish College, Cambridge",120,240,London South Bank University,1996-01-17,1R
39,Middlesex University,220,225,"Selwyn College, Cambridge",1996-01-24,2R
40,"University College, Oxford",335,105,Heriot-Watt University,1996-01-31,2R
41,London School of Economics,230,195,Keele University,1996-02-07,2R
42,"Pembroke College, Oxford",285,200,Swansea University,1996-02-14,2R
43,University of Warwick,200,170,"Gonville and Caius College, Cambridge",1996-02-21,2R
44,Newcastle University,300,140,London South Bank University,1996-02-28,2R
45,University of Exeter,185,165,Liverpool John Moores University,1996-03-06,2R
46,Imperial College London,290,140,Lancaster University,1996-03-13,2R
47,"Selwyn College, Cambridge",270,175,"University College, Oxford",1996-03-20,QF
48,London School of Economics,225,190,"Pembroke College, Oxford",1996-03-27,QF
49,University of Warwick,235,165,Newcastle University,1996-04-03,QF
50,University of Exeter,70,325,Imperial College London,1996-04-10,QF
51,"Selwyn College, Cambridge",210,280,London School of Economics,1996-04-17,SF
52,University of Warwick,230,300,Imperial College London,1996-04-24,SF
53,London School of Economics,220,275,Imperial College London,1996-05-01,F
54,Imperial College London,200,210,"St Catharine's College, Cambridge",1996-11-12,1R
55,Queen's University Belfast,165,135,Cardiff University,1996-11-19,1R
56,Barts and The London School of Medicine and Dentistry,155,135,"Keble College, Oxford",1996-11-26,1R
57,University of Manchester,360,40,"Birkbeck, University of London",1996-12-03,1R
58,"Newnham College, Cambridge",200,155,London School of Economics,1996-12-10,1R
59,University of Glamorgan,220,175,Charing Cross Hospital,1996-12-17,1R
60,University of St Andrews,215,170,"Girton College, Cambridge",1997-01-06,1R
61,University of Surrey,130,230,"University of the West of England, Bristol",1997-01-13,1R
